IBM
Call: ibm -r -g 4213 
Seed: 123
Date: Fri Nov 02 10:17:32 2018
Version: 2018-11-01 09:04:42 UTC (rev. aebc669)
Environment: machine:DESKTOP-D3MBM6L, user:Dell User, os:Windows_NT, pid:8288

*initialisation_partition[init_1]
ewuilibrium_shortcut: 1969
values {d}
row-col 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
8-4 922 796 660 634 541 459 385 304 293 276 193 191 162 129 114 98 101 70 60 54 365
8-5 588 531 436 404 295 269 233 209 156 149 133 140 101 80 72 52 59 48 45 32 235
8-6 199 206 133 149 106 108 91 77 59 41 41 41 20 22 30 17 17 12 11 10 58
8-7 125 133 99 68 74 57 46 43 38 39 31 32 20 26 12 11 18 9 7 11 70
8-8 90 80 59 77 48 51 46 24 29 33 19 14 19 13 14 11 5 7 8 8 34
8-9 63 58 49 44 47 33 37 27 15 10 17 11 11 2 6 6 9 5 6 1 24
8-10 48 36 34 27 27 24 24 11 17 19 13 15 6 9 4 3 2 4 2 1 18
9-1 1874 1484 1365 1138 976 858 747 612 551 481 417 355 300 234 243 207 186 145 120 115 727
9-2 1406 1206 1059 952 863 678 541 522 416 361 337 285 237 223 155 144 124 128 106 87 554
9-3 1020 844 741 630 554 484 400 367 318 259 253 184 159 148 118 125 89 82 72 61 404
9-4 818 665 650 474 456 375 321 278 242 225 178 135 139 111 104 68 70 50 55 50 317
9-5 775 642 558 462 387 307 304 266 230 206 156 131 101 105 117 69 53 54 48 36 255
9-6 266 226 200 183 161 129 109 89 86 74 61 54 38 37 34 28 26 18 15 25 109
9-7 179 158 121 108 100 79 53 55 48 46 41 37 32 24 24 13 14 8 10 7 68
9-8 106 91 82 79 66 64 49 38 34 22 31 21 25 17 9 11 7 9 7 10 48
9-9 86 97 63 57 39 33 44 34 29 26 20 21 20 9 9 10 9 10 9 5 35
9-10 83 58 45 39 23 38 20 24 13 21 19 21 8 8 9 5 3 3 4 5 22
10-1 2479 2210 1892 1534 1377 1191 1009 902 758 627 550 489 418 343 282 237 229 181 164 129 997
10-2 1458 1326 1058 945 765 751 543 517 458 382 310 314 251 217 170 147 124 119 96 87 546
