IBM
Call: ibm -r 
Seed: 123
Date: Thu Oct 31 14:18:39 2019
Version: 2019-10-07 02:58:21 UTC (rev. 2006f9b)
Environment: machine:DESKTOP-D3MBM6L, user:Dell User, os:Windows_NT, pid:14088

*initialisation_partition[init_1]
equilibrium_shortcut: 1949
values {d}
row-col 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
6-9 20631.1 18019.6 16844.4 13710.6 11621.3 11229.6 8879.22 6920.56 7573.45 4961.91 5092.49 3525.57 3525.57 3003.26 2350.38 1697.5 1958.65 1697.5 1305.77 1305.77 6920.56
6-10 14494 12013.1 11360.2 9270.95 9270.95 6659.41 6137.1 4700.76 4047.88 3133.84 3264.42 2219.8 2480.96 1958.65 1566.92 914.037 1044.61 1044.61 1044.61 1044.61 4961.91
7-1 411433 347719 302805 259067 228381 190513 170273 138151 118042 103156 87748.1 76257.2 71948.1 51447.4 48182.9 43221 33427.6 31077.2 28988 26376.5 144288
7-2 436110 380882 326568 275779 242222 200568 182287 149903 134234 118695 93624.1 92448.9 74168 64505.2 55887 48052.4 42176.3 30424.3 27551.7 24548.4 158783
7-3 414045 355944 306722 268990 228642 191688 169359 145464 130839 108118 94407.6 82002.7 69728.3 58368 50402.8 40870.6 39303.6 34472.2 27029.4 23112.1 148598
7-4 356336 282046 251885 227728 187510 161525 133189 117650 98324.9 87486.9 73776.2 67639.1 56801.1 46746.6 39695.4 38520.1 30685.5 25462.4 22850.9 18411.3 128227
7-5 215715 177978 156824 137107 123396 100806 92971.2 78738.2 66072.1 57715.1 52230.9 41915.2 30032.6 29902 25854.2 26898.8 20108.8 14885.8 13188.3 11229.6 80566.3
7-6 60979.6 53406.1 51708.5 40087.1 37867.3 30293.8 27029.4 21675.7 20108.8 18411.3 12666 11882.5 10837.9 8095.75 7181.72 6659.41 6267.68 5353.64 3786.72 3394.99 23503.8
7-7 42698.6 40478.8 27943.4 31077.2 24417.8 16452.7 18150.2 14102.3 13580 8748.64 9923.83 9270.95 5745.37 6920.56 4961.91 4178.45 3003.26 2872.69 3264.42 3133.84 14885.8
7-8 30685.5 26637.6 24026.1 18019.6 12535.4 13318.8 10837.9 10576.7 9009.79 9009.79 6398.26 6659.41 4570.18 3656.15 4047.88 3394.99 1828.07 2089.23 3133.84 1175.19 11229.6
7-9 21414.6 18150.2 15016.3 13188.3 11882.5 12143.6 7965.18 6267.68 5353.64 5223.07 4309.03 4439.61 2742.11 2872.69 2480.96 1828.07 1958.65 1305.77 1044.61 1175.19 6398.26
7-10 12013.1 13449.4 10576.7 8226.33 6789.99 6920.56 6659.41 6920.56 5875.95 3003.26 3656.15 2219.8 2219.8 1305.77 1044.61 1175.19 522.307 1175.19 783.46 914.037 5353.64
8-1 548394 453344 401641 328135 293535 257891 205138 181242 156171 141807 127313 104201 87878.7 79913.4 65288.7 59935 44396.2 40478.8 36300.3 30163.2 187118
8-2 382449 312336 268337 246009 196128 174452 150034 137107 117389 96235.7 82916.7 74429.1 59412.6 51708.5 46616 39956.5 30946.6 26115.3 27029.4 25723.6 131884
8-3 329701 281393 237521 203049 180850 158260 123396 111252 97149.7 83961.3 71817.6 60979.6 56539.9 41001.1 39825.9 34472.2 28465.7 27812.8 20500.6 17627.9 117259
8-4 379576 318603 279565 232820 207096 175758 145986 133581 106290 96235.7 86964.6 73253.9 58629.2 48313.5 50141.6 40217.7 36561.5 34080.5 26115.3 19717.1 135540
8-5 243920 207880 176672 155518 130578 104854 93754.7 81741.5 74298.6 60065.5 56148.2 51186.2 36692.1 32121.8 28726.8 23242.7 17627.9 17889 13318.8 13710.6 88923.3
8-6 83700.2 66463.9 60587.9 51969.7 41392.9 38520.1 29379.7 28726.8 25723.6 21675.7 18672.5 16322.1 13449.4 11360.2 8356.91 8095.75 8618.06 5745.37 6267.68 4961.91 28726.8
8-7 55625.9 41654 36039.2 33688.8 27290.5 23503.8 22459.2 18933.6 15146.9 13318.8 12404.8 12013.1 7442.87 6137.1 5875.95 4831.34 3394.99 3786.72 4570.18 3394.99 19586.5
8-8 39434.2 30685.5 26115.3 20761.7 18411.3 12666 13318.8 11490.8 11229.6 8748.64 6137.1 4961.91 5875.95 5353.64 4047.88 3003.26 3917.3 2480.96 2872.69 1958.65 13710.6
8-9 24287.3 21153.4 19847.7 15669.2 15799.8 11882.5 9009.79 10054.4 7181.72 6137.1 6267.68 3917.3 4309.03 3003.26 2742.11 1828.07 2742.11 2219.8 2480.96 1697.5 9009.79
8-10 18933.6 14885.8 15277.5 11882.5 9793.26 9140.37 7573.45 8879.22 3917.3 3786.72 4700.76 3656.15 2089.23 2219.8 2350.38 1175.19 1697.5 1044.61 783.46 1044.61 4700.76
9-1 727395 633912 538862 452299 392894 327482 286616 244964 216368 178369 155388 135670 120001 98455.5 91404.3 69989.5 69597.7 58759.8 51708.5 43612.7 261939
